Is gateway,Status,Last active,Name,MAC,Serial,Tags,Model,Product description,Latitude,Longitude,Internet address,LAN IP,Usage,Client count,Download speed,Gateway node,Gateway route length,Ping latency,Last active timestamp,Clients probing,Current client count
false,OK,now,LVB Busbahnhof Lindenau Trace,88:15:44:ba:74:70,Q2JD-HKB3-H35M, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.331829541282,12.3216540802969,217.254.17.125,N/A,58365952,5,0.0,88:15:44:ba:6c:d0,1,"",Fri Feb 10 10:22:53 CET 2017,,1
true,OK,now,HLkomm - Testanlagen,e0:55:3d:b2:9b:60,Q2JD-6WDM-K6RH, LEIPZIGER ,MR32,Meraki MR32 Cloud Managed AP,51.3350598,12.3716687,85.232.12.227,192.168.10.50,161087488,4,"",e0:55:3d:b2:9b:60,"","",Fri Feb 10 10:22:40 CET 2017,,0
true,OK,now,Schauspielhaus Foyer Garderoben,88:15:44:bb:6a:60,Q2JD-PXLM-LRLF, LEIPZIGER SCHAUSPIEL ,MR32,Meraki MR32 Cloud Managed AP,51.3410504143368,12.3698955952204,146.0.126.163,192.168.8.173,725036032,27,"",88:15:44:bb:6a:60,"","",Fri Feb 10 10:22:47 CET 2017,,0
true,OK,now,NATO indoor,88:15:44:ba:de:a0,Q2JD-LB7Y-TYPY, LEIPZIGER NATO ,MR32,Meraki MR32 Cloud Managed AP,51.32525,12.37301,109.104.56.193,,108157952,5,"",88:15:44:ba:de:a0,"","",Fri Feb 10 10:22:19 CET 2017,,0
true,Unreachable for <var data-var='duration'>18 days</var>,18 days,Zeitg.Forum AP4,88:15:44:ba:43:70,Q2JD-GCFE-P4FZ, DOK LEIPZIGER ,MR32,Meraki MR32 Cloud Managed AP,51.33977162263,12.3757195561666,109.104.56.225,,0,0,"",88:15:44:ba:43:70,"","",Mon Jan 23 09:02:30 CET 2017,,0
true,Unreachable for <var data-var='duration'>about 1 month</var>,about 1 month,e0:55:3d:4b:13:e0,e0:55:3d:4b:13:e0,Q2DK-XTB4-L6WK, recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.3424997092507,12.3758554636515,109.104.56.109,,0,0,"",e0:55:3d:4b:13:e0,"","",Mon Dec 12 10:23:26 CET 2016,,0
true,Unreachable for <var data-var='duration'>about 1 month</var>,about 1 month,e0:55:3d:4b:03:a0,e0:55:3d:4b:03:a0,Q2DK-X2YM-2HWU, recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.342501384729,12.3757696329631,109.104.56.70,,0,0,"",e0:55:3d:4b:03:a0,"","",Wed Dec 14 16:23:56 CET 2016,,0
true,Unreachable for <var data-var='duration'>about 1 month</var>,about 1 month,e0:55:3d:65:67:20,e0:55:3d:65:67:20,Q2DK-KLCY-3BXN, recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.3424997092507,12.3756864844836,109.104.56.67,,0,0,"",e0:55:3d:65:67:20,"","",Wed Dec 14 16:39:07 CET 2016,,0
true,Unreachable for <var data-var='duration'>3 months</var>,3 months,,e0:55:3d:65:62:60,Q2DK-KC8B-NDAF, LAGER recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.33754,12.37422,109.104.56.80,,0,0,"",e0:55:3d:65:62:60,"","",Mon Nov 07 09:56:06 CET 2016,,0
true,Unreachable for <var data-var='duration'>about 1 month</var>,about 1 month,,e0:55:3d:39:62:10,Q2JD-TAE9-4NBJ, BEI-PENTA recently-added ,MR32,Meraki MR32 Cloud Managed AP,37.4180951010362,-122.098531723022,80.64.182.241,192.168.1.243,0,0,"",e0:55:3d:39:62:10,"","",Thu Jan 05 16:17:33 CET 2017,,0
true,Unreachable for <var data-var='duration'>18 days</var>,18 days,,e0:55:3d:26:91:20,Q2JD-TD4M-8XTX, LAGER recently-added ,MR32,Meraki MR32 Cloud Managed AP,51.33754,12.37422,80.64.182.241,192.168.1.28,0,0,"",e0:55:3d:26:91:20,"","",Mon Jan 23 08:28:56 CET 2017,,0
true,Unreachable for <var data-var='duration'>about 1 month</var>,about 1 month,,88:15:44:ba:7a:80,Q2JD-HPE6-NMBB, LAGER recently-added ,MR32,Meraki MR32 Cloud Managed AP,51.33754,12.37422,80.64.182.241,192.168.1.6,0,0,"",88:15:44:ba:7a:80,"","",Thu Jan 05 16:16:43 CET 2017,,0
true,Unreachable for <var data-var='duration'>23 days</var>,23 days,88:15:44:ba:77:50,88:15:44:ba:77:50,Q2JD-HMLM-X22J, BEI-PENTA recently-added ,MR32,Meraki MR32 Cloud Managed AP,51.33754,12.37422,80.64.182.241,192.168.1.12,0,0,"",88:15:44:ba:77:50,"","",Wed Jan 18 15:50:27 CET 2017,,0
false,Unreachable for <var data-var='duration'>about 1 month</var>,about 1 month,Zeitg.Forum AP2,e0:55:3d:65:b4:d0,Q2DK-PK8E-MJFE, recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.3397967562938,12.3757195561666,146.0.126.160,N/A,0,0,-16,00:18:0a:5e:1e:40,2,"",Sat Dec 17 12:27:18 CET 2016,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:65:72:40,Q2DK-L6AC-2R35, LVB recently-added ,MR72,Meraki MR72 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
